id,hip,hd,hr,gl,bf,proper,ra,dec,dist,alt1,alt2,alt3
0,,,,,Sun,Sol,0,0,0,,,
70666,HIP 70890,,,Gl 551,,Proxima Centauri,14.495985,-62.679485,1.2959,,,
71456,HIP 71683,HD 128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,,,
71453,HIP 71681,HD 128621,5460,Gl 559B,Alp2Cen,,14.660346,-60.8383,1.3248,,,
87665,HIP 87937,HD ,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,,,
118720,HIP ,HD ,,Gl 406,,,10.941484,7.01532,2.3906,,,
53879,HIP 54035,HD 95735,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,,,
118079,HIP ,HD ,,Gl 65A,,,1.650199,-17.949782,2.6267,,,
118080,HIP ,HD ,,Gl 65B,,,1.650199,-17.949782,2.6267,,,
32263,HIP 32349,HD 48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,,,
118441,HIP ,HD ,,Gl 244B,,,6.752559,-16.71524,2.6371,,,
92115,HIP 92403,HD ,,Gl 729,,,18.830369,-23.836232,2.9698,,,
119585,HIP ,HD ,,Gl 905,,,23.698379,44.174924,3.1686,,,
16496,HIP 16537,HD 22049,1084,Gl 144,18Eps Eri,Epsilon Eridani,3.548848,-9.458262,3.2161,,,
113687,HIP 114046,HD 217987,,Gl 887,,Lacaille 9352,23.097531,-35.853073,3.2759,,,
57375,HIP 57548,HD ,,Gl 447,,Ross 128,11.795666,0.804563,3.3553,,,
119518,HIP ,HD ,,Gl 866A,,EZ Aquarii,22.642562,-15.302542,3.3979,,,
91487,HIP 91772,HD 173740,,Gl 725B,,Struve 2398 B,18.713249,59.626847,3.4545,,,
103879,HIP 104214,HD 201091,8085,Gl 820A,61    Cyg,61 Cygni,21.114794,38.749415,3.4865,,,
118493,HIP ,HD ,,Gl 280B,,,7.655006,5.226824,3.4974,,,
103883,HIP 104217,HD 201092,8086,Gl 820B,61    Cyg,61 Cygni B,21.115163,38.742055,3.498,,,
37173,HIP 37279,HD 61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,,,
117979,HIP ,HD ,,Gl 15B,,Groombridge 34 B,0.30516,44.023502,3.568,,,
91484,HIP 91768,HD 173739,,Gl 725A,,Struve 2398 A,18.713179,59.630396,3.5691,,,
1472,HIP 1475,HD 1326,,Gl 15A,,Groombridge 34 A,0.306174,44.022954,3.5873,,,
108526,HIP 108870,HD 209100,8387,Gl 845,Eps Ind,Epsilon Indi,22.055486,-56.785977,3.6224,,,
118541,HIP ,HD ,,GJ 1111,,DX Cancri,8.497244,26.778532,3.6258,,,
8087,HIP 8102,HD 10700,509,Gl 71,52Tau Cet,Tau Ceti,1.734479,-15.93748,3.6502,,,
5632,HIP 5643,HD ,,Gl 54.1,,YZ Ceti,1.208502,-16.998967,3.6899,,,
82472,HIP 82724,HD ,,,,,16.908863,-62.399734,3.6964,,,
36107,HIP 36208,HD ,,Gl 273,,Luyten's Star,7.456805,5.225785,3.8026,,,
24129,HIP 24186,HD 33793,,Gl 191,,Kapteyn's Star,5.194169,-45.018417,3.9114,,,
104751,HIP 105090,HD 202560,,Gl 825,,Lacaille 8760,21.287725,-38.867362,3.9462,,,
110547,HIP 110893,HD 239960,,Gl 860A,,Kruger 60,22.466642,57.695875,4.001,,,
119505,HIP ,HD ,,Gl 860B,,,22.467267,57.696623,4.0077,,,
72284,HIP 72511,HD ,,Gl 563.2B,,,14.825751,-26.105704,4.034,,,
118428,HIP ,HD ,,Gl 234B,,,6.489939,-2.812227,4.1171,,,
30847,HIP 30920,HD ,,Gl 234A,,,6.489833,-2.813979,4.1268,,,
82473,HIP 82725,HD ,,,,,16.908971,-62.403319,4.1465,,,
